Month,Deaths from Diseases,Deaths from Wounds,Deaths from Other Causes
4/1/1854,62,2,8
5/1/1854,120,0,5
6/1/1854,320,12,10
7/1/1854,360,40,12
8/1/1854,530,35,24
9/1/1854,710,25,16
10/1/1854,650,18,35
11/1/1854,520,36,40
12/1/1854,830,49,57
1/1/1855,857,36,50
2/1/1855,756,48,34
3/1/1855,370,32,22
4/1/1855,330,28,15
5/1/1855,290,18,10
6/1/1855,220,14,8
7/1/1855,160,12,17
8/1/1855,120,10,16
9/1/1855,90,9,8
10/1/1855,60,11,9
11/1/1855,70,10,7
12/1/1855,50,9,5
1/1/1856,42,10,4
2/1/1856,38,5,4
3/1/1856,35,4,3
